Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"C1, C2, C3, C4, C5, C6",Capacitor_0603,6,100nf,
C7,Capacitor_0603,1,10uf,
"C8, C9",Capacitor_0603,2,1uf,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,16,Diode,
F1,Fuse_0603,1,500mA,
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
R1,Resistor_0402,1,10K,
"R2, R3",Resistor_0402,2,5.1K,
"S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S7, S8, S9",MX_Hotswap_1.00u,16,Keyswitch,
SW1,Button_TL3342,1,SW_Push,
U1,Package_LQFP-48_7x7mm_P0.5,1,STM32F103C8Tx,
U2,ESD_SOT-23-6,1,USBLC6-2P6,
U3,Voltage_SOT-23,1,XC6206PxxxMR,
